編號,案件類型,發生日期,發生時段,發生地點,定位地點,lat,lon
1021,住宅竊盜,1050808,16~18,台北市北投區中庸里永興路1段1~30號,台北市北投區中庸里永興路1段1 號,25.1388601,121.4994013
1022,住宅竊盜,1050808,16~18,台北市士林區永倫里永平街9巷1~30號,台北市士林區永倫里永平街9巷1 號,25.089797,121.504947
1023,住宅竊盜,1050809,07~09,台北市信義區景聯里基隆路2段79巷1~30號,台北市信義區景聯里基隆路2段79巷1 號,25.030184,121.5585356
1024,住宅竊盜,1050809,13~15,台北市中山區中山北路2段93巷1~30號,台北市中山區中山北路2段93巷1 號,25.0594195,121.5233012
1025,住宅竊盜,1050809,19~21,台北市士林區社子里2鄰通河西街2段1~30號,台北市士林區社子里2鄰通河西街2段1 號,25.0902846,121.5108901
1026,住宅竊盜,1050810,13~15,台北市大安區和安里建國南路1段301~330號,台北市大安區和安里建國南路1段301 號,25.035422,121.538315
1027,住宅竊盜,1050810,16~18,台北市士林區天母里中山北路7段190巷31~60號,台北市士林區天母里中山北路7段190巷31 號,25.126169,121.535684
1028,住宅竊盜,1050810,16~18,台北市中山區民生東路3段91~120號,台北市中山區民生東路3段91 號,25.0578409,121.5441466
1029,住宅竊盜,1050810,19~21,台北市北投區關渡里大度路3段301巷150弄1~30號,台北市北投區關渡里大度路3段301巷150弄1 號,25.1191612,121.465348
1030,住宅竊盜,1050811,04~06,台北市南港區三重里新民街31~60號,台北市南港區三重里新民街31 號,25.0560946,121.6130265
1031,住宅竊盜,1050812,13~15,台北市北投區桃源里4鄰中央北路3段1~30號,台北市北投區桃源里4鄰中央北路3段1 號,25.137947,121.486162
1032,住宅竊盜,1050813,22~24,台北市內湖區江南街21巷1~30號,台北市內湖區江南街21巷1 號,25.0780236,121.5791167
1033,住宅竊盜,1050814,10~12,台北市信義區正和里仁愛路4段511~540號,台北市信義區正和里仁愛路4段511 號,25.0374713,121.5612341
1034,住宅竊盜,1050815,10~12,台北市中山區合江街91~120號,台北市中山區合江街91 號,25.059388,121.539272
1035,住宅竊盜,1050816,13~15,台北市士林區三玉里1鄰芝玉路2段20巷1~30號,台北市士林區三玉里1鄰芝玉路2段20巷1 號,25.1105034,121.5345333
1036,住宅竊盜,1050817,04~06,台北市中正區新營里金華街26之1~30號,台北市中正區新營里金華街26之1 號,25.0315783,121.5206158
1037,住宅竊盜,1050817,16~18,台北市文山區樟新里013鄰木新路3段243巷4弄1~30號,台北市文山區樟新里013鄰木新路3段243巷4弄1 號,24.9808611,121.5592387
1038,住宅竊盜,1050818,13~15,台北市南港區新光里東新街180巷121~150號,台北市南港區新光里東新街180巷121 號,25.0443584,121.5938745
1039,住宅竊盜,1050818,16~18,台北市士林區天山里12鄰中山北路7段14巷31弄1~30號,台北市士林區天山里12鄰中山北路7段14巷31弄1 號,25.1195978,121.5325851
1040,住宅竊盜,1050819,01~03,台北市大安區法治里通化街180巷1~30號,台北市大安區法治里通化街180巷1 號,25.0263258,121.5524681
1041,住宅竊盜,1050819,07~09,台北市內湖區東湖里康樂街48巷1~30號,台北市內湖區東湖里康樂街48巷1 號,25.0689281,121.6183404
1042,住宅竊盜,1050819,19~21,台北市士林區岩山里9鄰忠義路91巷1~30號,台北市士林區岩山里9鄰忠義路91巷1 號,25.1063608,121.5325213
1043,住宅竊盜,1050820,01~03,台北市信義區泰和里吳興街600巷76弄151~180號,台北市信義區泰和里吳興街600巷76弄151 號,25.0175549,121.56927
1044,住宅竊盜,1050821,16~18,台北市萬華區武成街101巷1~30號,台北市萬華區武成街101巷1 號,25.019287,121.493831
1045,住宅竊盜,1050822,01~03,台北市南港區鴻福里玉成街235巷23弄1~30號,台北市南港區鴻福里玉成街235巷23弄1 號,25.0436589,121.5862585
1046,住宅竊盜,1050822,13~15,台北市萬華區錦德里3鄰西園路2段261巷12弄1~30號,台北市萬華區錦德里3鄰西園路2段261巷12弄1 號,25.0253008,121.4927985
1047,住宅竊盜,1050822,13~15,台北市北投區永明里立農街2段202巷2弄1~30號,台北市北投區永明里立農街2段202巷2弄1 號,25.1184611,121.5140814
1048,住宅竊盜,1050823,07~09,台北市南港區中研里研究院路2段70巷17弄1~30號,台北市南港區中研里研究院路2段70巷17弄1 號,25.0459049,121.6145966
1049,住宅竊盜,1050824,01~03,台北市中正區光復里重慶南路1段46巷1~30號,台北市中正區光復里重慶南路1段46巷1 號,25.044533,121.512811
1050,住宅竊盜,1050824,04~06,台北市士林區翠山里中社路1段11巷91~120號,台北市士林區翠山里中社路1段11巷91 號,25.110137,121.562841
1051,住宅竊盜,1050824,13~15,台北市北投區中和街474巷1~30號,台北市北投區中和街474巷1 號,25.1454502,121.4951769
1052,住宅竊盜,1050826,04~06,台北市中山區林森北路271~300號,台北市中山區林森北路271 號,25.0551668,121.5256069
1053,住宅竊盜,1050826,07~09,台北市內湖區明湖里4鄰康寧路3段165巷23弄1~30號,台北市內湖區明湖里4鄰康寧路3段165巷23弄1 號,25.0715028,121.6121792
1054,住宅竊盜,1050826,19~21,台北市大同區至聖里酒泉街61~90號,台北市大同區至聖里酒泉街61 號,25.071576,121.5168832
